State,LightGBM,TES,LRI,LRII,PR,LASSO,Ridge,Prophet
Andaman and Nicobar Islands,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1.984,0.353,1.0,176756140.647,2.353,0.0,0.765,0.529
Arunachal Pradesh,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2.125,0.118,238.471,595164029.059,56279112334.706,0.0,0.941,0.118
Bihar,2.055,1.059,325.235,0.529,0.824,0.0,0.529,0.706
Chandigarh,2.078,0.059,0.059,1071106.059,2.176,0.0,0.882,0.118
Chhattisgarh,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dadar Nagar Haveli,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,13.005,6.588,7.941,12.882,12.941,0.0,13.059,24.176
Goa,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat,23.706,5.882,76.882,7.118,16.118,0.0,22.176,6.529
Haryana,1.959,0.235,0.294,2099059.647,3.176,0.0,0.647,0.647
Himachal Pradesh,2.152,0.118,28737.588,0.176,0.941,0.0,0.176,0.176
Jammu and Kashmir,2.05,0.588,41.353,197748182.353,5303409339.118,0.0,0.941,3.471
Jharkhand,2.066,0.059,0.059,9998565.235,1.588,0.0,0.059,0.059
Karnataka,2.264,0.588,8.235,0.882,0.882,0.0,0.882,0.765
Kerala,1.955,0.176,90.882,7005311.118,2.294,0.0,0.176,0.176
Ladakh,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,5.604,1.588,2.412,3.647,3.294,0.0,4.412,2.941
Maharashtra,58.522,10.529,15.412,57.412,49.941,0.0,57.824,14.118
Manipur,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meghalaya,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,1.964,0.176,0.471,0.353,2.176,0.0,0.235,0.235
Puducherry,2.134,0.0,9.941,0.059,0.059,0.0,0.059,0.059
Punjab,2.077,0.412,2.118,252062028.941,19.706,0.0,0.706,0.765
Rajasthan,3.868,1.118,8.588,29649489.471,2905503502.529,0.0,2.235,1.294
Tamil Nadu,4.977,1.412,1.412,3.882,32.706,0.0,3.353,1.824
Telengana,2.95,1.294,1.235,1.765,128305811586.941,0.0,1.647,1.706
Tripura,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,6.217,2.176,8.487104981362246e+21,4882070.118,4.118,0.0,4.765,4.824
Uttarakhand,1.955,0.176,0.412,0.471,0.471,0.0,0.471,0.176
West Bengal,5.631,3.176,11.765,5.529,23.118,0.0,3.0,4.235
